ID,Year,Start,End,Operation,Parent,Duration (days),Days into parent,Drones,Air to air,Cruise missiles,Aerial bombing,Close air support,Ground troops,Paramil,US allies,State targets,Non-state targets,Latitude,Longitude,Urban,Forest,Mountain,Side A casualties,Side B casualties,Civilian casualties,US casualties,Latitude_Clean,Longitude_Clean,Coordinate_Status,Coordinate_Note
1,1989,1989-12-01,1989-12-09,1989 Philippine coup attempt,1989 Philippine coup attempt,8,0,0,1,0,0,0,1,0,1,1,1,145.938.892.364.502,120.994.445.800.781,2,0,0,,,,,14.59388924,120.9944458,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
66,1991,1991-01-16,1991-01-17,Operation Senior Surprise,Gulf War,1,167,0,0,1,0,0,0,0,0,1,0,363.400.001.525.879,431.300.010.681.152,1,0,0,0,,,0,36.34000015,43.13000107,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
60,1991,1991-01-18,1991-01-19,Battle of Ad-Dawrah,Gulf War,1,169,0,0,0,1,1,0,1,2,1,0,,,,,,,0,,0,30.149,48.368,approx_from_operation_name,Ad-Dawrah Offshore Oil Fields / Ad Dawrah area
46,1991,1991-01-19,1991-01-19,Package Q Strike,Gulf War,0,170,0,0,0,1,0,0,0,0,1,0,33.315.241,443.660.671,2,0,0,2,,,2,33.315241,44.3660671,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
45,1991,1991-01-24,1991-01-24,Attack on Ras Tanura,Gulf War,0,175,0,1,0,0,0,0,0,1,1,0,26.773.008,49.998.236,1,0,0,0,2,,0,26.773008,49.998236,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
64,1991,1991-01-24,1991-01-29,Battle of Qurah and Umm al Maradim,Gulf War,5,175,0,0,0,0,1,1,0,1,1,0,294.426.996,482.891.359,1,0,0,0,3,,0,29.4426996,48.2891359,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
61,1991,1991-01-29,1991-02-01,Battle of Khafji,Gulf War,3,180,0,0,0,0,1,1,1,6,1,0,284.166.660.308.838,48.5,1,0,0,43,,,,28.41666603,48.5,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
47,1991,1991-01-30,1991-01-30,Samurra Air Battle,Gulf War,0,181,0,1,0,0,0,0,0,0,1,0,335.701.198,445.411.655,2,0,0,0,0,0,0,33.5701198,44.5411655,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
44,1991,1991-02-13,1991-02-13,Amiriyah shelter bombing,Gulf War,0,195,0,0,0,1,0,0,0,0,1,0,332.972.221.374.512,442.805.557.250.977,2,0,0,,,408,,33.29722214,44.28055573,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
65,1991,1991-02-15,1991-02-20,Battle of Wadi Al-Batin,Gulf War,5,197,0,0,0,1,1,1,0,1,1,0,33.223.191,43.679.291,0,0,0,3,,,,33.223191,43.679291,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
59,1991,1991-02-26,1991-02-27,Battle of 73 Easting,Gulf War,1,208,0,0,0,0,1,1,0,1,1,0,298.452.777.862.549,467.908.325.195.312,0,0,0,6,,,6,29.84527779,46.79083252,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
62,1991,1991-02-27,1991-02-27,Battle of Kuwait International Airport,Gulf War,0,209,0,0,0,0,1,1,1,0,1,0,292.374.992.370.605,479.738.883.972.168,1,0,0,19,,,19,29.23749924,47.9738884,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
63,1991,1991-02-27,1991-02-27,Battle of Norfolk,Gulf War,0,209,0,0,0,0,0,1,0,1,1,0,299.133.171,452.993.862,0,0,0,36,,,21,29.9133171,45.2993862,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
53,1991,1991-03-01,1996-12-31,Operation Provide Comfort,Gulf War,2132,211,0,1,0,1,1,1,1,8,1,0,364.103.395,443.871.953,0,0,1,31,90,,5,36.4103395,44.3871953,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
56,1993,1993-01-13,1993-01-22,January 1993 airstrikes on Iraq,Gulf War,9,895,0,0,1,1,0,0,0,2,1,0,309.397.220.611.572,460.924.987.792.969,0,0,0,0,1,5,0,30.93972206,46.09249878,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
296,1993,1993-04-12,1995-12-20,Operation Deny Flight,Bosnian War,982,371,0,0,0,1,1,0,0,1,1,0,,,,,,9,,,1,43.915886,17.679076,approx_from_operation_name,Bosnia and Herzegovina representative point
54,1993,1993-06-26,1993-06-26,1993 cruise missile strikes on Iraq,Gulf War,0,1059,0,0,1,0,0,0,0,0,1,0,267.505.337,516.834.275,0,0,0,0,,9,0,26.7505337,51.6834275,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
39,1993,1993-08-22,1993-10-13,Operation Gothic Serpent,Somali Civil War,52,939,0,0,0,0,1,1,1,5,1,1,20.469.343,453.181.623,,,,45,750,,19,2.0469343,45.3181623,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
2,1994,1994-09-19,1995-03-31,Operation Uphold Democracy,1991 Haitian coup d'état,193,1086,0,0,0,0,0,1,1,2,1,0,18.971.187,-72.285.215,1,0,1,1,301,,1,18.971187,-72.285215,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
58,1994,1994-10-08,1994-12-15,Operation Vigilant Warrior,Gulf War,68,1528,0,0,0,0,1,1,1,0,1,0,300.830.204,477.025.402,2,0,0,,,,,30.0830204,47.7025402,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
290,1995,1995-01-01,1996-01-01,Implementation Force,Bosnian War,365,1000,0,0,0,0,0,1,0,32,1,0,43.915.886,17.679.076,0,1,1,,,,,43.915886,17.679076,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
291,1995,1995-08-30,1995-09-20,Operation Deliberate Force,Bosnian War,21,1241,0,0,0,1,0,0,0,1,1,0,43.915.886,17.679.076,0,1,1,0,26,27,0,43.915886,17.679076,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
