ID,Year,Start,End,Operation,Parent,Duration (days),Days into parent,Drones,Air to air,Cruise missiles,Aerial bombing,Close air support,Ground troops,Paramil,US allies,State targets,Non-state targets,Latitude,Longitude,Urban,Forest,Mountain,Side A casualties,Side B casualties,Civilian casualties,US casualties,Latitude_Clean,Longitude_Clean
1,1989,12/1/1989,12/9/1989,1989 Philippine coup attempt,1989 Philippine coup attempt,8,0,0,1,0,0,0,1,0,1,1,1,145.938.892.364.502,120.994.445.800.781,2,0,0,,,,,14.59388924,120.9944458
66,1991,1/16/1991,1/17/1991,Operation Senior Surprise,Gulf War,1,167,0,0,1,0,0,0,0,0,1,0,363.400.001.525.879,431.300.010.681.152,1,0,0,0,,,0,36.34000015,43.13000107
60,1991,1/18/1991,1/19/1991,Battle of Ad-Dawrah,Gulf War,1,169,0,0,0,1,1,0,1,2,1,0,,,,,,,0,,0,30.149,48.368
46,1991,1/19/1991,1/19/1991,Package Q Strike,Gulf War,0,170,0,0,0,1,0,0,0,0,1,0,33.315.241,443.660.671,2,0,0,2,,,2,33.315241,44.3660671
45,1991,1/24/1991,1/24/1991,Attack on Ras Tanura,Gulf War,0,175,0,1,0,0,0,0,0,1,1,0,26.773.008,49.998.236,1,0,0,0,2,,0,26.773008,49.998236
64,1991,1/24/1991,1/29/1991,Battle of Qurah and Umm al Maradim,Gulf War,5,175,0,0,0,0,1,1,0,1,1,0,294.426.996,482.891.359,1,0,0,0,3,,0,29.4426996,48.2891359
61,1991,1/29/1991,2/1/1991,Battle of Khafji,Gulf War,3,180,0,0,0,0,1,1,1,6,1,0,284.166.660.308.838,48.5,1,0,0,43,,,,28.41666603,48.5
47,1991,1/30/1991,1/30/1991,Samurra Air Battle,Gulf War,0,181,0,1,0,0,0,0,0,0,1,0,335.701.198,445.411.655,2,0,0,0,0,0,0,33.5701198,44.5411655
44,1991,2/13/1991,2/13/1991,Amiriyah shelter bombing,Gulf War,0,195,0,0,0,1,0,0,0,0,1,0,332.972.221.374.512,442.805.557.250.977,2,0,0,,,408,,33.29722214,44.28055573
65,1991,2/15/1991,2/20/1991,Battle of Wadi Al-Batin,Gulf War,5,197,0,0,0,1,1,1,0,1,1,0,33.223.191,43.679.291,0,0,0,3,,,,33.223191,43.679291
